,open,close,high,low,volume,date
1386,29336.0,29209.7,29558.4,29065.5,223376.534,2023-07-27
1387,29209.8,29299.9,29535.7,29112.8,221299.867,2023-07-28
1388,29300.0,29339.1,29397.9,29237.5,87100.719,2023-07-29
1389,29339.1,29271.1,29442.5,29006.0,169901.253,2023-07-30
1390,29271.2,29220.8,29525.8,29100.0,230381.722,2023-07-31
1391,29220.8,29701.2,29735.0,28550.0,442328.643,2023-08-01
1392,29701.2,29170.1,30059.9,28906.3,491725.492,2023-08-02
1393,29170.2,29180.2,29440.0,28955.4,251967.942,2023-08-03
1394,29180.1,29101.1,29323.8,28780.0,229395.673,2023-08-04
1395,29101.1,29057.7,29145.0,28960.0,82508.624,2023-08-05
1396,29057.7,29075.9,29199.0,28978.5,103094.440,2023-08-06
1397,29075.9,29202.7,29274.5,28682.3,297752.439,2023-08-07
1398,29202.7,29759.0,30250.0,29132.4,459269.801,2023-08-08
1399,29758.9,29572.8,30149.7,29362.0,362009.701,2023-08-09
1400,29572.9,29443.7,29729.8,29303.7,234546.038,2023-08-10
1401,29443.7,29415.5,29565.1,29220.0,179044.008,2023-08-11
1402,29415.5,29420.7,29470.0,29360.0,56238.035,2023-08-12
1403,29420.8,29293.3,29463.0,29256.6,84190.505,2023-08-13
1404,29293.3,29419.5,29686.7,29070.0,295035.383,2023-08-14
1405,29419.5,29188.8,29492.1,29050.0,191289.959,2023-08-15
1406,29188.9,28714.4,29257.4,28705.1,272023.138,2023-08-16
1407,28714.4,26609.7,28775.9,24581.0,868508.220,2023-08-17
1408,26609.7,26042.1,26818.0,25600.0,522375.316,2023-08-18
1409,26042.0,26088.3,26269.4,25783.4,202219.153,2023-08-19
1410,26088.4,26175.9,26285.0,25948.5,141089.850,2023-08-20
1411,26175.9,26115.4,26280.0,25800.0,232505.265,2023-08-21
1412,26115.4,26044.4,26128.2,25280.0,313113.576,2023-08-22
1413,26044.5,26419.2,26806.0,25800.0,412969.028,2023-08-23
1414,26419.2,26164.6,26568.3,25835.0,286753.337,2023-08-24
1415,26164.6,26051.7,26300.0,25754.4,274830.494,2023-08-25
1416,26051.7,26004.3,26129.4,25969.0,63925.862,2023-08-26
1417,26004.3,26087.7,26173.6,25955.6,86505.398,2023-08-27
1418,26087.6,26106.5,26244.6,25850.4,219992.051,2023-08-28
1419,26106.5,27700.1,28168.0,25905.2,700233.946,2023-08-29
1420,27700.1,27290.4,27758.2,26950.0,315313.916,2023-08-30
1421,27290.4,25928.0,27674.3,25617.8,502906.277,2023-08-31
1422,25928.0,25795.6,26151.6,25312.0,361184.924,2023-09-01
